nome_original,sugestao_nome_pt,fontes,exemplo_valor
nulos,nulos,outputs\inventario_classificado.csv;outputs\inventario_temperaturas.csv;outputs\inventario_temperaturas_inidcadas.csv;outputs\pendencias_classificacao.csv,0
o2_excess_pct,o2_excess_pct,data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv;outputs\pedra\A1_SECONDARIES_FOR_PEDRA_MODEL.csv,3.541
pearson_r,pearson_r,outputs\eda\correlacoes_altas_20250809_115344.csv,0.9998301408317284
proxy_nome,proxy_nome,outputs\proxy_map_definitivo.csv,coal_flow_furnace_t_h
q05,q05,outputs\physics_baseline.csv;outputs\physics_baseline_intersection.csv,-0.4710073948827625
q25,q25,outputs\baseline_datasets\stats_baseline.csv;outputs\baseline_datasets\stats_offbaseline.csv,7.517749999999999
q50,q50,outputs\physics_baseline.csv;outputs\physics_baseline_intersection.csv,-0.1339853405365957
q75,q75,outputs\baseline_datasets\stats_baseline.csv;outputs\baseline_datasets\stats_offbaseline.csv,8.661750000000001
q95,q95,outputs\physics_baseline.csv;outputs\physics_baseline_intersection.csv,0.1059708793004573
score,score,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.6715508370563549
spearman_tau,spearman_tau,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.5990117526011138
spearman_vprimary,spearman_vprimary,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.8905774872503907
spearman_vtotal,spearman_vtotal,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.2718011056329233
staged_dimensao,staged_dimensao,outputs\comparacao_colunas_staged_vs_curated.csv,sem_dim
staged_exemplo_valor,staged_exemplo_valor,outputs\comparacao_colunas_staged_vs_curated.csv,2023-01-01 00:00:00
staged_variavel,staged_variavel,outputs\comparacao_colunas_staged_vs_curated.csv,Timestamp
std,std,outputs\baseline_datasets\stats_baseline.csv;outputs\baseline_datasets\stats_offbaseline.csv;outputs\physics_baseline.csv;outputs\physics_baseline_intersection.csv,0.1735589859875945
tau_backpass,tau_backpass,data\curated\a1_physics_informed_enriched.csv;data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv;outputs\pedra\A1_SECONDARIES_FOR_PEDRA_MODEL.csv,-1.074136418007667
tau_backpass_ref,tau_backpass_ref,outputs\pedra\A1_SECONDARIES_REFS.csv,-0.5358638574316295
tau_densa,tau_densa,data\curated\a1_physics_informed_enriched.csv;data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv;outputs\pedra\A1_SECONDARIES_FOR_PEDRA_MODEL.csv,-1.9674934982963388
tau_densa_ref,tau_densa_ref,outputs\pedra\A1_SECONDARIES_REFS.csv,-0.1339853405365957
tau_diluida,tau_diluida,data\curated\a1_physics_informed_enriched.csv;data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv;outputs\pedra\A1_SECONDARIES_FOR_PEDRA_MODEL.csv,-1.146757019345038
tau_diluida_ref,tau_diluida_ref,outputs\pedra\A1_SECONDARIES_REFS.csv,-0.7887567083700368
tau_global,tau_global,data\curated\a1_physics_informed_enriched.csv;data\curated\a1_physics_informed_proxies.csv;outputs\baseline_datasets\physics_baseline_proxies.csv;outputs\baseline_datasets\physics_offbaseline_proxies.csv,-1.396128978549681
tau_zona,tau_zona,outputs\inventario_classificado.csv;outputs\pendencias_classificacao.csv;outputs\tau_mapping.csv,backpass
trend_tau,trend_tau,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.5317303299521144
trend_vprimary,trend_vprimary,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.9743432224004884
trend_vtotal,trend_vtotal,outputs\pedra\DELTA_PROXY_DIAGNOSTICS.csv,0.1384722073434169
unidade,unidade,outputs\proxy_map_definitivo.csv,t/h
unnamed: 0,unnamed_0,outputs\eda\matriz_correlacao_20250809_115344.csv,flw_output_of_belt_coal_fdr_a1_t_h
v_proxy_primary_ref,v_proxy_primary_ref,outputs\pedra\A1_SECONDARIES_REFS.csv,763.7815
v_proxy_total_ref,v_proxy_total_ref,outputs\pedra\A1_SECONDARIES_REFS.csv,822.1505
variavel,variavel,outputs\baseline_datasets\compare_baseline_vs_off.csv;outputs\baseline_datasets\stats_baseline.csv;outputs\baseline_datasets\stats_offbaseline.csv;outputs\inventario_classificado.csv;outputs\inventario_temperaturas.csv;outputs\inventario_temperaturas_inidcadas.csv;outputs\pendencias_classificacao.csv;outputs\physics_baseline.csv;outputs\physics_baseline_intersection.csv,tau_densa
variavel_1,variavel_1,outputs\eda\correlacoes_altas_20250809_115344.csv,differential_prs_of_furnace_a_kpa
variavel_2,variavel_2,outputs\eda\correlacoes_altas_20250809_115344.csv,prs_hot_sa_saf_a_in_aph_outl_kpa
variavel_normalizada,variavel_normalizada,outputs\inventario_classificado.csv;outputs\inventario_temperaturas.csv;outputs\inventario_temperaturas_inidcadas.csv;outputs\pendencias_classificacao.csv,furnace_bed_temp_10_12_sel_adegc
