,media_horaria_so2_apos_fgd_mg_nm3,so2_con_raw_flue_gas_rectified_mg_nm3
media_horaria_so2_apos_fgd_mg_nm3,0.0,0.22639181174771114
so2_con_raw_flue_gas_rectified_mg_nm3,0.22639181174771114,0.0
