,deaerator_water_level_mm,drum_level_sel_mm,side_a_drum_level_sel_mm,side_b_drum_level_sel_mm
deaerator_water_level_mm,0.0,0.56391588429495,0.7408750563337694,0.8114092110848871
drum_level_sel_mm,0.56391588429495,0.0,0.6644221646391677,0.8814008913503681
side_a_drum_level_sel_mm,0.7408750563337694,0.6644221646391677,0.0,0.7962739563640681
side_b_drum_level_sel_mm,0.8114092110848871,0.8814008913503681,0.7962739563640681,0.0
