dimensao,grupo_id,colunas_origem,mean_novo,std_novo
adegc,G001,bed_temperature_average_adegc|esp_comb_with_ff_b_outl_temp_adegc|hot_reheat_steam_temperature_1_adegc|miain_steam_temperature_adegc|te_of_gas_in_ecmz_side_b_outl_adegc|te_of_hot_pri_air_in_aph_outl_adegc|temp_1_of_furnace_a_inner_adegc|temp_of_3_lph_outl_wtr_adegc|temp_of_cnd_pump_outl_header_adegc|temp_of_cnd_water_of_dea_inl_adegc|temp_of_furnace_b_outl_adegc|temp_of_gas_in_aph_outl_adegc|temp_of_gas_in_ltr_side_b_inl_adegc|temp_of_gas_in_ltr_side_b_outl_adegc|temperature_of_cyclone_c_inlet_adegc,mean_adegc_G001,std_adegc_G001
adegc,G002,furnace_bed_temp_10_12_sel_adegc|furnace_bed_temp_13_15_sel_adegc|furnace_bed_temp_16_18_sel_adegc|furnace_bed_temp_1_3_sel_adegc|furnace_bed_temp_4_6_sel_adegc|furnace_bed_temp_7_9_sel_adegc|te_no_6_hp_heater_ol_feed_wtr_adegc|te_no_7_hp_heater_ol_feed_wtr_adegc|te_no_8_hp_heater_ol_feed_wtr_adegc|te_of_gas_in_ecmz_side_a_outl_adegc|temp_1_of_furnace_b_inner_adegc|temp_3_of_furnace_b_inner_adegc|temp_of_4_lph_outl_wtr_adegc|temp_of_furnace_a_outl_adegc|temp_of_gas_in_ltr_side_a_inl_adegc|temp_of_gas_in_ltr_side_a_outl_adegc|temperature_of_cyclone_a_inlet_adegc|temperature_of_cyclone_b_inlet_adegc,mean_adegc_G002,std_adegc_G002
