,deaerator_pressure_mpa,deaerator_upstream_pressure_mpa,drum_pres_sel_mpa,hot_reheat_steam_pressure_mpa,main_steam_pressure_mpa,prs_of_condensate_pump_a_outl_mpa,prs_of_condensate_pump_b_outl_mpa
deaerator_pressure_mpa,0.0,0.8395692623392607,0.1187279060799888,0.994094348958781,0.9796177346765472,0.9602690022716394,0.9662133620454321
deaerator_upstream_pressure_mpa,0.8395692623392607,0.0,0.3247009501850393,0.8418159928090233,0.8016214775749823,0.7846186605183949,0.8222423767627065
drum_pres_sel_mpa,0.1187279060799888,0.3247009501850393,0.0,0.14197683475405912,0.12566709011635088,0.17062843939396158,0.029269033967020366
hot_reheat_steam_pressure_mpa,0.994094348958781,0.8418159928090233,0.14197683475405912,0.0,0.9769847712097826,0.9732556014123431,0.9591113487412648
main_steam_pressure_mpa,0.9796177346765472,0.8016214775749823,0.12566709011635088,0.9769847712097826,0.0,0.9645263382837185,0.9230369752854212
prs_of_condensate_pump_a_outl_mpa,0.9602690022716394,0.7846186605183949,0.17062843939396158,0.9732556014123431,0.9645263382837185,0.0,0.893659504109129
prs_of_condensate_pump_b_outl_mpa,0.9662133620454321,0.8222423767627065,0.029269033967020366,0.9591113487412648,0.9230369752854212,0.893659504109129,0.0
