,feed_water_flw_sel_t_h,flw_of_cnd_water_before_dea_t_h,main_steam_flow_sel_t_h,total_fuel_flow_t_h
feed_water_flw_sel_t_h,0.0,0.9471890365139801,0.4726980623601234,0.958349801271095
flw_of_cnd_water_before_dea_t_h,0.9471890365139801,0.0,0.6298817502534776,0.9785687859818712
main_steam_flow_sel_t_h,0.4726980623601234,0.6298817502534776,0.0,0.46986498751477296
total_fuel_flow_t_h,0.958349801271095,0.9785687859818712,0.46986498751477296,0.0
