,fsh_outl_hdr_temp_adegc_min,hi_te_rh_ol_temp_adegc_min
fsh_outl_hdr_temp_adegc_min,0.0,0.20244345976322003
hi_te_rh_ol_temp_adegc_min,0.20244345976322003,0.0
