,dust_concentrat_raw_flue_gas_mg_m3,so2_con_clean_flue_gas_rectifi_mg_m3,so2_concentration_raw_flue_gas_mg_m3
dust_concentrat_raw_flue_gas_mg_m3,0.0,0.43688612130099885,0.2436779952251889
so2_con_clean_flue_gas_rectifi_mg_m3,0.43688612130099885,0.0,0.5694125295682555
so2_concentration_raw_flue_gas_mg_m3,0.2436779952251889,0.5694125295682555,0.0
