,burner_perc_do_ar_total_,coal_perc_do_ar_total_,lower_perc_do_ar_total_,o2_avg_
burner_perc_do_ar_total_,0.0,0.08182378659709548,0.06535820896014038,0.0860304141039089
coal_perc_do_ar_total_,0.08182378659709548,0.0,0.04808231821140982,0.9869712241800586
lower_perc_do_ar_total_,0.06535820896014038,0.04808231821140982,0.0,0.04896983157306906
o2_avg_,0.0860304141039089,0.9869712241800586,0.04896983157306906,0.0
