,furnace_pres_pa,pressure_1_of_furnace_a_upper_pa,pressure_1_of_furnace_b_upper_pa,pressure_of_furnace_a_medium_pa,pressure_of_furnace_b_medium_pa
furnace_pres_pa,0.0,0.5013784588467437,0.03370303156289941,0.14299360289618532,0.39518097654919404
pressure_1_of_furnace_a_upper_pa,0.5013784588467437,0.0,0.358193088682827,0.023947752482187466,0.47299533489417567
pressure_1_of_furnace_b_upper_pa,0.03370303156289941,0.358193088682827,0.0,0.18223493190824458,0.058469146773199185
pressure_of_furnace_a_medium_pa,0.14299360289618532,0.023947752482187466,0.18223493190824458,0.0,0.5054109601807422
pressure_of_furnace_b_medium_pa,0.39518097654919404,0.47299533489417567,0.058469146773199185,0.5054109601807422,0.0
