timestamp,coal_flow_furnace_t_h,vazao_ar_total_knm3_h,vazao_ar_prim_total_knm3_h,temp_hot_pri_air_in_preaq_ar_saida,tau_densa,tau_diluida,tau_backpass,o2_excess_pct,delta_proxy
2023-03-01 07:00:00,42.538,634.68,432.125,261.133,-1.9674934982963388,-1.146757019345038,-1.074136418007667,3.541,-1.2833536996714756
2023-03-01 08:00:00,42.322,631.813,431.432,263.958,-1.7958846327809366,-1.0478883076342975,-0.8316288611943374,4.361,-2.206577442997989
2023-03-01 09:00:00,52.333,690.239,461.678,277.324,-0.9049433872636804,-0.3554729878685713,-0.0624352533480881,3.258,-1.1641320695046429
2023-03-01 10:00:00,61.845,831.846,504.506,296.866,-0.7753103105835899,-0.0367598920561329,0.5090528552918218,3.874,-0.5976842783456711
2023-03-01 11:00:00,65.178,793.736,479.41,281.669,-0.252938555793463,0.2320294148789809,0.3696159215888521,3.463,0.2513709528544314
2023-03-01 12:00:00,69.33,873.968,498.219,279.891,-0.1867659071200977,0.4064890788153872,0.3664114375018705,3.181,-1.158207753488595
2023-03-01 13:00:00,68.378,829.909,484.344,287.446,0.3201688289302824,0.6450916323746957,0.6416421010582792,3.052,-1.2602731060883126
2023-03-01 14:00:00,64.487,828.557,478.703,282.513,0.5805894992592395,0.7583177723896478,0.5204502245606691,2.976,-1.1645668482203175
2023-03-01 15:00:00,58.568,804.779,466.751,276.434,0.0504843516458159,0.4948884161862065,0.4489944759401185,2.899,-1.0755075686314424
2023-03-01 16:00:00,65.40299999999999,834.24,468.884,283.151,-0.0738982630610228,0.4667895377831947,0.5183299668418312,3.078,-1.0773453505171566
2023-03-01 17:00:00,67.00399999999999,836.547,474.887,294.649,0.0442016142953466,0.5563083357332256,0.4587573965090214,3.006,-1.163634489418926
2023-03-01 18:00:00,72.10900000000001,904.996,474.064,281.624,0.3665011197382968,0.8136187321668054,0.4821736857806035,2.976,-1.16417554737621
2023-03-01 19:00:00,77.382,940.236,511.124,289.176,0.4649960787855104,0.7880465253506314,0.7449523184231953,3.078,-0.1896966997170497
2023-03-01 20:00:00,78.50399999999999,908.039,511.266,285.179,0.3557508356551899,0.7078567443020569,0.6232758772517412,3.413,0.2164530970258555
2023-03-01 21:00:00,78.47200000000001,930.969,506.396,287.4,0.3249498807399518,0.6459863824511176,0.78045813603288,2.976,0.1833730230829948
2023-03-01 22:00:00,75.68299999999999,915.375,504.753,287.503,0.5934118385211998,0.8595942141745256,0.7205889929834569,3.258,-0.4230949992027925
2023-03-01 23:00:00,78.065,961.692,518.248,283.402,0.6681142217588508,0.9375405495465632,0.8239162317470708,2.899,-0.4524995093742247
2023-03-02 00:00:00,83.154,885.329,497.831,282.558,0.4261714415493314,0.7627829051402525,0.5489873366578236,2.95,-0.9487006185171416
2023-03-02 01:00:00,67.215,848.841,477.443,273.512,0.2216010800178588,0.7525457824537051,0.3575069795931597,3.232,-1.1644412454802335
2023-03-02 02:00:00,66.684,851.041,467.6,277.518,0.2727743111967755,0.8126494354842976,0.4720909802313321,3.208,-1.349044619869708
2023-03-02 03:00:00,67.847,819.249,466.724,286.409,0.3550796795926053,0.8719442068467226,0.4348513016833167,3.413,-1.1643687823609543
2023-03-02 04:00:00,68.703,851.98,467.928,273.957,0.2528404604150466,0.7679896396406579,0.3939382429646785,3.232,-1.3028834327033825
2023-03-02 05:00:00,69.852,853.99,474.858,278.408,0.2635112262467699,0.8311348892048551,0.5797434235870069,3.258,-1.164122407755405
2023-03-02 06:00:00,79.987,892.908,474.493,283.744,-0.003586561191646,0.970780476044568,0.602981971125341,2.77,-1.164412260232522
2023-03-02 07:00:00,68.451,851.324,471.317,289.074,0.4227451994207669,0.8392735219110499,0.8237103835952367,3.283,-1.3082097235302663
2023-03-02 08:00:00,69.18799999999999,846.921,486.63,299.229,0.6192050144484984,0.8537835129344179,0.7314370161331069,3.386,-1.164388105859429
2023-03-02 09:00:00,68.451,832.071,485.105,274.802,0.4549670074210943,0.6963913390213206,0.5088222205730811,3.232,-1.1643446279878615
2023-03-02 10:00:00,71.61,850.15,490.155,279.297,0.5072742247469934,0.8427115340149758,0.7031986508906534,3.232,-1.1645620173456988
2023-03-02 11:00:00,73.231,872.6,489.579,286.011,0.4469568001657051,0.8948557359913626,0.8067766545450634,3.206,-1.4626721575098944
2023-03-02 12:00:00,71.56899999999999,868.285,492.102,295.729,0.2562028567883975,0.8166876377599337,0.8846670700208574,3.258,-1.349044619869708
2023-03-02 13:00:00,69.43,829.274,480.15,292.624,0.5773836790670877,0.9361058070557284,0.6948061977680906,3.309,-1.2070101978194752
2023-03-02 14:00:00,83.88300000000001,903.583,486.594,278.408,0.106182541594379,0.9588959625845288,0.5329654525257029,2.976,-1.2957817116008707
2023-03-02 15:00:00,69.001,849.195,482.694,283.892,0.4432657101995734,0.8161999327217767,0.7669518156823426,3.232,-1.1644001830459754
2023-03-02 16:00:00,62.981,836.914,482.304,289.028,0.315369967880874,0.7336625765792587,0.8508343486130879,3.232,-1.1641586393150452
2023-03-02 17:00:00,62.400000000000006,834.13,475.108,304.249,0.3374650160029227,0.7231257711942768,0.8425616174139633,3.31,-1.1644291682936871
2023-03-04 21:00:00,53.556,718.163,436.945,221.661,0.1557922077475355,-0.0785921744235312,-0.9940878359196048,3.99,-2.6788418963150136
2023-03-04 22:00:00,42.345,622.175,398.305,276.229,-1.4602458915929373,-0.9956727972376376,-0.6067250152705396,5.651,-2.234984327408036
