variavel,count,mean,std,min,q25,median,q75,max
t_bfbp_b_inlet_temperature_adegc,11569,531.8038555622786,308.56487878080617,99.214,184.412,723.577,783.401,934.572
tau_backpass,11569,0.008531402910478068,0.4779515471204061,-4.083716664164792,-0.399457432915006,0.0829961174485649,0.3715893772573932,1.427058856462703
tau_densa,11569,-0.012215172936107348,0.571431506440096,-4.022279330103512,-0.3997391273854893,-0.096077494803599,0.3143783771860798,1.6934578855093316
tau_diluida,11569,0.01278242297956834,0.6018254212079994,-3.95504528530226,-0.5613969085483128,0.1513300913508419,0.5239390055714751,1.3695912320561463
tau_global,11569,0.003032884317979654,0.41471520259371636,-3.690810503512161,-0.3484057588938534,0.1054566675697567,0.3187898050157849,1.294543967921924
te_no_6_hp_heater_ol_feed_wtr_adegc,11569,182.89371596507908,36.000513741443726,51.01,149.911,155.882,224.069,231.896
te_no_7_hp_heater_ol_feed_wtr_adegc,11568,236.07613623789766,16.50560891249305,74.526,221.523,230.101,254.101,262.471
te_no_8_hp_heater_ol_feed_wtr_adegc,11568,265.0822057399724,13.36756320671216,75.736,251.499,261.327,278.864,287.719
te_of_gas_in_ecmz_side_a_outl_adegc,11568,308.73918118948825,8.522242577891696,194.226,302.955,308.299,313.604,351.814
te_of_gas_in_ecmz_side_b_outl_adegc,11569,132.59679107960932,156.05909066062188,-4.531,-3.151,-2.631,309.569,349.023
te_of_hot_pri_air_in_aph_outl_adegc,11569,130.06786714495638,131.2650577490631,10.701,15.184,18.468,278.1,311.519
te_of_hpfa_fan_outl_head_pipe_adegc,11569,68.97029760567032,18.987882678343325,45.932,52.769,53.629,89.044,107.234
temp_1_of_furnace_a_inner_adegc,11569,344.89703518022304,394.7822142999165,-0.124,1.509,1.813,794.743,865.241
temp_1_of_furnace_b_inner_adegc,11568,820.0873247752421,30.271209603571986,600.871,800.0,820.8264999999999,837.248,956.197
temp_3_of_furnace_a_inner_adegc,11569,512.0374936468148,271.6400261849784,-12.433,270.238,442.038,799.138,1558.393
temp_3_of_furnace_b_inner_adegc,11569,826.2417546028178,25.04748589480129,395.921,810.088,824.919,839.72,921.88
temp_of_3_lph_outl_wtr_adegc,11569,51.52942907770766,55.38465029737252,-0.037,3.427,3.627,115.071,121.994
temp_of_4_lph_outl_wtr_adegc,11569,131.37610588642062,17.941590464341587,36.992,114.99,121.346,151.546,156.864
temp_of_cnd_pump_outl_header_adegc,11569,17.916351715792203,16.80679884196069,2.822,3.396,3.597,36.479,46.608
temp_of_cnd_water_of_dea_inl_adegc,11569,65.26376471605153,75.05989891623317,-2.397,-0.036,0.393,151.546,156.864
temp_of_furnace_a_outl_adegc,11569,808.9780154723832,33.45228993454438,628.041,785.71,804.096,828.2,916.918
temp_of_furnace_b_outl_adegc,11569,302.2536312559426,458.4956016341912,-512.845,-108.363,29.517,818.106,1268.782
temp_of_gas_in_aph_outl_adegc,11569,54.64348016250323,68.30944087450472,-6.446,-4.685,-3.989,131.82,150.569
temp_of_gas_in_ltr_side_a_inl_adegc,11569,736.0675787017028,26.73911891619276,548.756,716.712,729.416,750.524,831.248
temp_of_gas_in_ltr_side_a_outl_adegc,11568,505.24547337482716,14.42257576857465,394.822,494.97925000000004,503.954,514.3375,569.692
temp_of_gas_in_ltr_side_b_inl_adegc,11569,317.01913631255945,367.1744361497916,-3.534,-2.431,-2.01,735.359,798.219
temp_of_gas_in_ltr_side_b_outl_adegc,11569,218.8269186619414,254.78205218605095,-4.063,-2.787,-2.313,509.143,559.289
temp_of_hpfa_fan_a_outl_adegc,11568,80.98541329529736,21.859764599729424,15.569,81.947,89.265,94.426,108.647
temp_of_hpfa_fan_b_outl_adegc,11568,61.43848616874136,32.1497513262316,0.029,54.289,55.795,89.967,108.849
temp_of_hpfa_fan_c_outl_adegc,11569,24.491242026104246,24.348913659217295,-0.309,0.238,19.025,54.508,106.225
temperature_of_cyclone_a_inlet_adegc,11567,854.1970644938185,28.733061920244957,456.626,833.998,848.871,873.5825,972.539
temperature_of_cyclone_b_inlet_adegc,11568,859.0657043568465,30.59706515206445,641.849,837.45225,850.612,876.173,966.768
temperature_of_cyclone_c_inlet_adegc,11559,372.2450756985899,429.66162877993423,-2.05,-1.875,-1.386,862.396,927.583
total_air_flow_knm3_h,7285,823.0368782429649,34.11384084385474,511.171,807.448,821.119,837.163,961.692
total_fuel_flow_t_h,11560,126.04953788927334,142.0765728484462,2.473,3.079,3.3655,283.54025,367.899
total_paf_air_flow_knm3_h,11559,665.0253646509213,179.76284068701037,361.992,470.318,745.671,812.0115000000001,969.642
u_valve_a_inlet_static_prs_kpa,11527,-1.4767783464908477,0.3019228082660334,-2.05,-1.692,-1.482,-1.268,5.653
u_valve_b_inlet_static_prs_kpa,11547,-1.3626541958950378,0.37964294677574023,-2.05,-1.628,-1.357,-1.153,0.209
u_valve_c_inlet_static_prs_kpa,11563,173.0146468044625,151.85182765078787,-2.05,-1.367,295.365,306.099,350.543
unit_actual_mw,11528,133.55326066967385,145.83914600235272,0.0,6.323,7.546,299.191,346.793
vacuum_pres_from_tcs_kpa,10224,344.5942496087637,251.63256828444858,3.908,6.748,528.206,533.594,551.893
